胡豆	蚕豆
令儿	知了
锤子兮兮	不厚道
锤子兮兮	缺德
打不湿	弄不湿
等于零	白搭
滴点儿	一点点
抵拢坎坎	到头
抵拢坎坎	到底
抵拢坎坎	到时候
定子	拳头
坨子	拳头
哈皮搓搓	傻傻的样子
短倒	截住
短倒	拦住
对头	正确
对头	对
对	对
二回	下次
二天	以后
发气	发脾气
烦球得很	很烦
嘎儿马洒	乱七八糟
改围剿	火并
高头	上面
搞惯球咯	养成了习惯
搞惯咯德性	养成了坏习惯
德性	习惯
德性	脾气
搞刨咯	手忙脚乱
告花子	乞丐
跟倒	立刻
跟倒	马上
怪得劈暴	丑得要命
怪眉日眼	装模作样
怪眉日眼	长相清奇
怪迷色样	奇形怪状
怪劈石山儿	奇怪
怪劈石山儿	丑陋
咣眉咣眼	委屈说不出口
龟儿子	乌龟的儿子
鬼扯	胡说八道
摆悬龙门阵	胡说八道
鬼冬瓜儿	小滑头
鬼冬瓜儿	小聪明
鬼画淘胡	鬼画桃符
鬼火胀	无名火起
鬼火冒	无名火起
鬼火冲	无名火起
鬼五六七叻	乱七八糟的
海椒	辣椒
辣椒	辣椒
憨包	傻逼
憨包	智障
哈八儿	傻逼
好汏哦	好大啊
好黑人哦	好吓人啊
汤好练哦	汤好浓稠哦
喝嘛咯	喝醉了
喝人	骗人
红苕	红薯
黄司机	菜司机
黄司机	技术不好的司机
灰吧拢耸	全是灰
灰兜巴儿	垃圾堆
昏戳戳	晕乎乎
铲铲儿	锤子哦
铲铲儿	不信
搞铲铲儿哦	搞锤子哦
耙火	很软
耙火	便宜
捡耙火	捡便宜
伙起	出去浪
几娘母	几个女人
几爷子	几个大男人
假吧意思	假惺惺的
假吧意思	假装
假吧二三	假惺惺的
假精灵	纯粹小聪明
剪巴浪昂	口吃的人
将就	凑合
将就	勉强
焦人得很	非常着急
惊抓抓叻	一惊一乍的
精灵	聪明
精灵	机灵
九不干	拧不干
卡卡角角	犄角旮旯
砍脑壳的	挨千刀的
快当	快
快当	迅速
拉稀摆带	撂挑子
拉稀摆带	推卸责任
癞疙宝	癞蛤蟆
烂眼儿	小混混
街娃儿	小混混
不落教	不老实
不落教	不听话
妈卖批	你麻痹
马浪昂	蜻蜓
连八浪	蜻蜓
码不实在	弄不清楚
毛焦火辣	焦躁不安
毛了	非常生气
毛了	火大
惹毛了	惹火了
惹毛了	惹生气了
毛起	不要怂
雄起	不要怂就是干
茅丝	厕所
厕所	厕所
闷墩儿	壮实
拽实	壮实
莫得	没有
莫来头	没关系
不存在	没关系
不存在	没事儿
哪个	谁
恼火	严重
恼火得很	严重得很
恼火得很	很伤脑筋
好恼火哦	好累啊
好恼火哦	好严重啊
脑壳	头
脑壳	脑袋
闹热	热闹
你嘿起整嘛	你拼命干吧
你嘿实整嘛	你拼命做吧
你傍哈我告哈耶	你动动我试试
你傍哈我告哈耶	你动我一个试试
嬢嬢	阿姨
牛跳马板	指手画脚
弄饭	做饭
螃海	螃蟹
爬开	滚开
爬哦	我不信
帕子	手绢
帕子	毛巾
胖臭	很臭
批娃儿	小兔崽子
批娃儿	小王八蛋
批样子	逼样
撇脱	干脆
撇脱	洒脱
婆娘	老婆
婆娘	妻子
你要切哪儿	你要去哪儿
清不到	不管那么多
清口水长流	羡慕想吃
球鸡儿不懂干嚼劲	不懂装懂
球不冷疼	不务正业
无知哇优	不务正业
曲鳝儿	蚯蚓
黢黑八黑	很黑
曲球几码黑	很黑
可猫儿	青蛙
青蛙	青蛙
热火	暖和
扯霍闪	打闪
扯露水	下露
打白头霜	下很重的白霜
打霜	降霜
冷天	冬天
冬天	冬天
绵绵雨	连绵的阴雨
霖雨	梅雨
落雨	下雨
落雪	下雪
偏东雨	夏天阵雨
太阳坝里	太阳底下
天干	天旱
天气大	天气热
旋头风	旋风
阴凉坝	阴凉地儿
月亮坝	月亮照到的地方
太阳落难	日食
月亮落难	月食
坝	平地
沙坪坝	沙坪坝
坝坝	平地
坝子	平原
川西坝子	成都平原
成都平原	成都平原
凼凼	坑
水凼凼	水坑
发大水	发洪水
河坝	河滩
河坎	河岸
平坝	平地
乡坝头	乡下
乡下	乡下
堰塘	池塘
差黑	快黑
天差黑了	天快黑了
差黑	傍晚
大白大亮	天色大亮
二四八月	春秋两季
天粉粉亮	天色微明
天麻麻亮	天色微明
黑了	晚上
黑了看电视	晚上看电视
黑了打麻将	晚上打麻将
晚上打麻将	晚上打麻将
晚上	晚上
麻麻黑	快黑
麻麻黑	刚黑
天麻麻黑	天快黑
七月半	中元节
清早八晨	大清早
上半午	上午
上前年	大前年
上前天	大前天
晌午	中午
十冬腊月	冬天
望后天	大后天
五黄六月	夏天
下半天	下午
下午	下午
一哈儿	一会儿
一下儿	一会儿
一天到黑	从早到晚
月尾尾	月末
昨年子	去年
昨年	去年
去年	去年
耍把戏	耍杂技
半截子幺爸儿	半大小子
棒老二	强盗
棒客	强盗
兵哥子	当兵的
叉巴	轻浮
好叉巴	好轻浮
掸尖儿	说人坏话
掸尖儿	打小报告
操得好	混得好
操哥	流氓
扯横筋	耍横
炊二哥	炊事员
逮猫儿	嫖妓
逮猫儿	嫖娼
逮猫儿	躲猫猫
儿娃子	男孩子
男娃儿	男孩儿
女娃儿	女孩儿
二杆子	小流氓
费	调皮
街妹儿	街上的女流氓
街娃儿	街上的流氓
瓜	傻
瓜	呆
瓜瓜	傻瓜
瓜娃子	傻瓜
瓜娃子	呆子
哈	傻
哈儿	傻子
哈包儿	傻瓜
行势	吃得开
豁皮	霸王餐
恍	粗心
他恍得很	他粗心得很
恍恍	粗心大意的人
这人是个恍恍	这人是个粗心大意的人
尖	精明
尖	狡猾
这人好尖咯	这人好狡猾啊
尖脑壳	投机钻营的人
叫咕咕	蟋蟀
莽	憨
莽子	傻子
猫儿	妓女
猫	猫
摸哥儿	小偷
摸哥儿	扒手
摸摸匠	小偷
老果果	老手
老坎	土包子
咧肥	拍马屁
舔肥	拍马屁
耙耳朵	怕老婆的人
耙耳朵	妻管严
气管炎	妻管严
骚棒	下流男
骚棒	风骚男
骚鸡公	下流男
骚鸡公	风骚男
啬家子	吝啬鬼
死皮	死皮赖脸
收荒匠	拾荒者
天棒	胆大包天的人
瘟猪	笨蛋
囚皮汉	专爱纠缠女人的男人
涎皮搭脸	死皮赖脸
大大	父亲
爸爸	爸爸
弟娃儿	弟弟
哥老倌	哥哥
公	祖父
公	爷爷
爷爷	爷爷
家公	外公
家婆	外婆
外公	外公
外婆	外婆
老汉儿	父亲
插花	订婚
扯发票	领结婚证
吃咪咪	吃奶
出姓	改嫁
独丁丁	独生子女
双双儿	双胞胎
祝生	庆生
吃挂面	上吊
坐夜	守夜
坐夜	守灵
膀子	胳膊
背脊骨	脊椎骨
窜脸胡	络腮胡
倒拐子	手肘
对对眼儿	斗鸡眼儿
鼓鼓眼儿	眼睛突出
光巴斗儿	上身赤裸
喉咙管儿	喉咙
后脑壳儿	后脑勺儿
尽头牙	智齿
脚板儿	脚掌
脚杆	下肢
磕膝头儿	膝盖
脑门心	前额
溜肩膀	不负责任的人
他是个溜肩膀	他是个不负责任的人
臁二杆	小腿
螺丝骨	踝骨
盘盘儿	盘子
瞟眼儿	斜眼
手弯弯	手肘
牙巴	牙齿
摆龙门阵	闲聊
摆龙门阵	讲故事
拌脚板儿	步行
冲壳子	吹牛
打啵儿	接吻
打捶	打架
打空手	空着手
打梦脚	开小差
打偏偏	东偏西倒
打燃火	闹冲突
打甩手	空着手
点头啄脑	不断点头
勾腰驼背	弯腰驼背
脑壳勾倒	低头
揪飘飘儿	捏脸调戏
马起个脸	沉着个脸
马倒	欺负
马脸嘴	生气脸
埋头	低头
埋头	埋头
咬耳朵	说悄悄话
怕巴巴掌	鼓掌
跶了几个扑趴	摔了几个跟头
日噘	骂
日噘	调侃
涮坛子	瞎扯淡
不要张他	不要理他
不要张识他	不要理他
抓足球	踢足球
踢球	踢球
爪脚爪手	手脚不灵活
拽瞌睡	打瞌睡
半边风	半身不遂
半头房子	独眼龙
边花儿	独眼龙
不安逸	不舒服
扯嗝嗝儿	打嗝
扯母猪疯	癫痫
寸耳寒	腮腺炎
出麻子	患麻疹
打标枪	拉稀
倒欠皮	倒刺
吊盐水	输液
豆麻关	天花
过肚皮	腹泻
豁豁儿	豁嘴
豁豁儿	豁嘴的人
火把眼	结膜炎
齁巴儿	哮喘病人
夹舌头儿	大舌头
謇巴郎	大舌头
捡药	抓药
开仓	大口吐血
开单子	开药方
母猪疯	癫痫
青春籽	粉刺
缺嘴儿	唇腭裂
月间病	子宫内膜炎
撑花儿	伞
伞	伞
瓜瓢	大木瓢
烘笼	烘篮
皇桶	大木桶
糨子	浆糊
瓢羹儿	调羹
铺盖	被子
铺盖面子	被面
扫把	扫帚
手叉子	匕首
洗脸帕	洗脸巾
邹邹儿	塞子
扁	揍
抄手儿	馄饨
吃巴片儿	蹭饭
吃福喜	吃白食
吃抹合	吃白食
打平伙	AA制
打牙祭	打牙祭
担担面	担担面
当顿	当饭吃
豆花儿	豆腐脑
粉子	粉末
盖碗儿茶	盖碗儿茶
锅盔	锅盔
搅搅	糊糊
扣肉	烧白
毛豆腐	腐乳
毛毛菜	便宜的蔬菜
脷子	猪舌头
凉粉	凉粉
膀	猪肘子
泡泡肉	虚胖的肉
烧白	烧白
水盆鸡	水盆鸡
桃片	桃片
糖油果子	糖油果子
毛血旺	毛血旺
稀饭	米粥
香香	零食
醪糟	米酒
蒸蒸糕	蒸蒸糕
坐墩儿肉	猪臀肉
笆笆门	穷人家
板板门	富人家
插插	门闩
吊脚楼	吊脚楼
阳台	阳台
灶屋	厨房
背背裤	背带裤
叉叉裤	开裆裤
尿片片儿	尿布
夹袄	棉袄
帕帕儿	小帕子
手笼子	手套
手套	手套
滚滚儿	车轮
滚滚	熊猫
熊猫	熊猫
苞谷	玉米
撮箕	簸箕
点豆子	种豆子
谷子	稻子
姜苞儿	仔姜
酒米	糯米
莲花白	结球甘蓝
藤藤菜	空心菜
田坎	田埂
折耳根	鱼腥草
芭茅	芦苇
浮飘	浮萍
狗尾巴草	狗尾巴草
抠痒树	紫薇树
猫儿抓刺	贯叶蓼
癞疙宝草	雪见草
楼梯竹	芦竹
蜞蚂儿叶	车前草
桑泡儿	桑葚
爬壁虎儿	壁虎
丁丁猫儿	蜻蜓
牛牛儿	蜗牛
鬼灯哥	猫头鹰
叫咕咕	蝈蝈儿
筋斗虫	孑孓
毛狗	狐狸
癞疙宝	癞蛤蟆
老鸹	乌鸦
鲇巴郎	鲇鱼
雷公虫	蜈蚣
蜞蟆儿	青蛙
山耗子	田鼠
蛇太医	四脚蛇
梭老二	蛇
搜山狗	猎狗
土狗	蝼蛄
团鱼	甲鱼
乌棒	乌鱼
伢狗	公狗
伢猪	公猪
阳雀	杜鹃鸟
油炸蚂儿	蚱蜢
皂鸡子	蟋蟀
灶猫儿	蟑螂
赶场	赶集
白墨	粉笔
粉笔	粉笔
车笔刀	卷笔刀
读望天书	读书不专心
号卷子	评卷
进牛圈门	启蒙入学
零光蛋	零分
落尾巴儿	最后一名
鸭蛋	零分
端公	男巫
神婆子	女巫
跳端公	跳大神
吴二爷	无常鬼
办姑姑宴儿	过家家
帮腔	川剧伴唱
吹吹儿	哨子
倒糖人	做糖人
灯影戏	皮影戏
高脚狮子	高跷
牛牛儿	陀螺
梭梭板儿	滑梯
办席	摆酒席
办招待	请客
二麻二麻的	微醺
扯把子	撒谎
出脱	断送
捶	揍
打圈圈	转圈
打整	整理
打整	收拾
打转转	打转儿
点水	告密
嗲	嗲
拈砣砣	抓阄儿
看白	看不起
看白了	看清了
搁平	搞定
冒菜	冒菜
没得	没有
没搞	没戏
拉肥猪	绑票
排头	开头
跑滩	流浪
飘啥子	赌什么
啥子	什么
塞包袱	行贿
私曰	私了
说聊斋	作出交代
甩死耗子	失约
抖你一顿	揍你一顿
弯酸	刁难
稳起	沉住气
下烂药	说坏话
下烂药	出馊主意
香一个	亲一个
雄起	挺住
要得	可以
扎起	撑腰
展牙巴劲	斗嘴
占起手	占优势
罢脚货	劣等品
刀儿匠	屠夫
道道儿	道士
颠颠儿	尖尖儿
吊话	牢骚话
二话	牢骚话
纸飞飞	纸屑
果子泡儿	大水泡
过场	名堂
旱鸭子	不会游泳的人
火色	火候
黄话	横话
黄腔	外行话
黄师傅	门外汉
筋筋网网	破破烂烂
冲壳子	吹牛
让手	退让的余地
索索	绳子
甩甩话	模棱两可的话
推口话	借口
歪名	外号
歪名	绰号
闲条	闲话
洋盘货	时髦的东西
打眼	惹人注意
得行	能干
对头	正确
对头	合适
二通二通	半通不通
疯扯扯	疯疯癫癫
胡二麻子	糊里糊涂
卡白	惨白
肉扯扯	不果断
塞边打网	无关紧要
四楞四现	棱角分明
死木呆呆	死气沉沉
苏气	漂亮
这姑娘好苏气	这姑娘好漂亮
忘命	不顾生命
心欠欠	心里还不满足
周正	整齐
周围团转	周围
别个	别人
各人做各人的	自己做自己的
哪百年	什么时候
哪个	谁
哪个的书	谁的书
哪哈儿	什么时候
哪门	怎么
想吃哪样	想吃什么
想耍哪样	想玩什么
那哈儿	那时
那们	那样
啷个	怎么
浪个	那个
啷们	怎么
恁个	这么个
样啥都没有	什么都没有
咋	怎么
咋个	怎么
咋个样	怎么样
这们	这么
你啷个这们浪个哎	你怎么这么那个哎
丁丁儿	一点点
跟倒	立刻
寡晓得说	只知道说
怪死难看	非常难看
怪死难吃	非常难吃
架势笑	使劲地笑
将将上课	刚刚上课
将将合适	刚刚合适
幸得好	幸好
喜得好	幸好
挨倒我坐	靠近我坐
半夜吃桃子	欺负弱小
壁头上挂团鱼	四脚无靠
城隍庙的瓜槌	一丘之貉
吃得亏打得堆	不怕吃亏的人好相处
刺芭林的斑鸠	不知春秋
丁丁猫儿变的	不要脸的
牛胯扯到马胯	风马牛不相及
猫儿抓糍粑	脱不了干系
让子弹飞一哈儿	让子弹飞一会儿
不急跟他耍耍	不急跟他玩玩儿
算逑	算了
马县长此番风度正好比	马县长此番风度正好比
大风起兮云飞扬	大风起兮云飞扬
写首丝	写首诗
要有风要有肉	要有风要有肉
要有火锅要有雾	要有火锅要有雾
要有美女儿要有驴	要有美女要有驴
脑壳搬家	脑袋搬家
莫客气嘛	别客气嘛
我晓得你喜欢花姐	我知道你喜欢花姐
日妈很丢人	妈的很丢人
那你是想站到	那你是想站着
还是想挣钱嘛	还是想挣钱嘛
我是想站到还把钱挣咯	我是想站着还把钱挣了
挣逑不成	挣不成
公平	公平
还是TM的公平	还是TM的公平
听到像穆扎	听着像穆扎
他们那边叫穆扎	他们那儿叫穆扎
咱们这里叫莫扎特	咱们这里叫莫扎特
小凤仙都晓不得还当妓女	小凤仙都不知道还当妓女
那可是名震京城誉满全国的鸡	那可是名震京城誉满全国的妓
我以为	我以为
酒一口一口喝	酒一口一口喝
路一步一步走	路一步一步走
步子迈大了	步子迈大了
容易扯到蛋	容易扯着蛋
起了个东洋名字	起了个东洋名字
黛玉晴雯子	黛玉晴雯子
有了腿便有了路	有了腿便有了路
师爷高	师爷高
县长硬	县长硬
黄老爷又高又硬	黄老爷又高又硬
不好色的县长不一定是好县长	不好色的县长不一定是好县长
你是要杀我还是要睡我	你是要杀我还是要睡我
我要睡你	我要睡你
那你还是杀了我嘛	那你还是杀了我吧
世界上本没有路	世界上本没有路
今天	今天
今天吃啥子	今天吃什么
如果你活着	如果你活着
早晚都会死	早晚都会死
如果你死了	如果你死了
你就永远活着	你就永远活着
你给我他妈的翻译一下	你给我他妈的翻译一下
他妈的到底什么是他妈的惊喜	他妈的到底什么是他妈的惊喜
你在抓子	你在干嘛
你抓子老	你怎么了
他们总说我瓜	他们总说我傻
其实我一点儿也不瓜	其实我一点儿也不傻
他们总说我瓜	他们总说我笨
其实我一点儿也不瓜	其实我一点儿也不笨
大多时候我都机智的一逼	大多时候我都机智的一逼
不要叫宝儿姐	不要叫宝儿姐
要叫主人	要叫主人
没得事	没事
交给我	交给我
我弄死他们	我弄死他们
在别人面前尽管装	在别人面前尽管装
今后姐罩着你	今后姐罩着你
跟他们装装逼可以	跟他们装装逼可以
跟我装	跟我装
弄死你	弄死你
叫啥子叫	叫什么叫
之前不是说了吗	之前不是说了吗
有姐罩着你呢	有姐罩着你呢
那个啥子	那个什么
小师叔	小师叔
打狗还要看主人呢	打狗还要看主人呢
你要是再继续的话	你要是再继续的话
我就是你的对手	我就是你的对手
他会有多爱你	他会有多爱你
才会给你取名叫宝宝	才会给你取名叫宝宝
张楚岚	张楚岚
不用怕他	不用怕他
一个区区天师府的小辈而已	一个区区天师府的小辈而已
做了姐的奴隶	做了姐的奴隶
你就不用再隐藏或者逃避了	你就不用再隐藏或者逃避了
不想再趴着活	不想再趴着活
就堂堂正正的站起来	就堂堂正正的站起来
把找你麻烦的	把找你麻烦的
全部都打回来	全部都打回来
胖达荣荣来也	胖子绒绒来了
火锅好吃刀下留人	火锅好吃刀下留人
火锅	火锅
我的脸谱喃	我的脸谱喃
生平最爱吃	生平最爱吃
我不做了	我不做了
好黑人哦	好吓人哦
嗨在下胖达绒绒	嗨在下胖子绒绒
嘿哟站住	嘿哟站住
失手咯	失手咯
好胖好胖球球最乖	好胖好胖球球最乖
想拜我为师不	想拜我为师不
绒绒送你回家泡温泉	绒绒送你回家泡温泉
绒绒不要那个	绒绒不要那个
啥子哟	什么啊
呜呜呜	呜呜呜
有个锤子	有个屁
莫得	没有
有个锤子的锤子	有个屁的锤子
有个铲铲	有个屁
砸个锤子的窗子	砸个屁的窗子
哎呀我跟你说个锤子	哎呀我跟你说个屁
有个毛线	有个屁
你是啥子鸟哦	你是什么鸟哦
我是凤凰噻	我是凤凰啊
哪有你龟儿子这么黑的凤凰哦	哪有你这么黑的凤凰哦
你晓得个铲铲	你知道个屁
各位乘客	各位乘客
飞机遭出问题老	飞机出现问题了
浪个搞的嘛	怎么搞的嘛
我们先杀到天安门	我们先赶到天安门
然后再杀到中南海	然后再赶到中南海
要得	好的
我们就按到你说的路线一路杀过切嘛	我们就按照你说的路线一路赶过去嘛
你浪个不开腔	你怎么不说话
你都不开腔	你都不说话
我浪个敢开耶	我怎么敢说话呢
勒哈安逸了	这下舒服了
包包都遭整空了	包包都被搞没钱了
哪儿去搞点子弹嘛	哪儿去取点钱嘛
熊猫坐飞机	飞宝
熊猫坐斗斗车	抖宝
不管白猫黑猫	不管白猫黑猫
捉到耗子就是好猫	抓到耗子就是好猫
开黄腔	说瞎话
开黄腔	说外行话
不懂就不要乱开黄腔	不懂就不要乱说瞎话
耍女朋友	找女朋友
洋盘	拉风
洋盘	洋气
算逑	算了
在四川有一种放弃叫算逑	在四川有一种放弃叫算了
他的话算个逑啊听我的	他的话算个屁啊听我的
背时	活该
该背时	活该
背时	倒霉
今天好背时哦	今天好倒霉哦
你懂个铲铲	你懂个锤子
你躲在那里爪子	你躲在那里干嘛
爪子	干嘛
哦豁	完了
哦豁屋里遭贼了	完了屋里遭贼了
猫儿抓糍粑	脱不了爪爪
搞锤子	玩蛇
宝器	傻瓜
刀刀客	强盗
肉嘎嘎	肉
吃嘎嘎	吃肉肉
光胴胴	裸上身
鱼摆摆	鱼
捉贼娃子	抓贼
雄起	加油
你吃饭没得	你吃饭没有
不摆了	无话可说
过场多	把戏多
马了个巴子	去尼马个比
耍朋友	谈恋爱
雀雀儿	小鸟
莽戳戳	傻乎乎
老子明天不上班	我明天不上班
兔儿	兔子
兔儿	兔兔
四川人每年吃掉3亿只兔儿	四川人每年吃掉3亿只兔兔
麻辣兔头	麻辣兔头
双椒兔	双椒兔
酸菜火锅兔	酸菜火锅兔
冷吃兔	冷吃兔
兔火锅	兔火锅
兔儿脑壳	兔头
麻辣兔头	兔兔的花里胡哨吃法
不辣的兔头都是异端	不辣的兔头都是异端
你个瓜娃子	你个傻瓜
啃过兔儿脑壳麦	啃过兔头吗
啃兔脑壳	接吻
飞禽莫如鸽走兽莫如兔	飞禽莫如鸽走兽莫如兔
干锅兔	干锅兔
红烧兔	红烧兔
尖椒兔	尖椒兔
烤兔	烤兔
麻辣兔丁	麻辣兔丁
手撕兔	手撕兔
烟熏兔	烟熏兔
迷到脑壳整	闷头干
巴适得板	舒服得很
不得虚	不会怕
不要虚	不要怂
哈哈儿	一会儿
哈哈儿	马上
假老练和风车车	猫和老鼠
你呢个瓜猫儿	你这个傻猫
今晚我又来到你的窗前	今晚我又来到你的窗前
今天天气好好哇	今天天气好好哇
春光明媚	春光明媚
假老练回来了	汤姆回来了
对面的母猫看过来	对面的母猫看过来
看过来	看过来
这边的公猫长得黑帅	这边的公猫长得很帅
求求你一定	求求你一定
咋个莫得反应讷	怎么没有反应呢
风车车	杰瑞
假老练	汤姆
假老练你在看撒子哦	汤姆你在看啥呢
我切看一哈	我去看一下
春春	春春
你是我的心	你是我的心
你是我的肝	你是我的肝
你是我的四昏之三	你是我的四分之三
莫得人陪你耍了	没人陪你玩儿了
假老练陪我去耍下子嘛	汤姆陪我去玩儿会儿吧
爬开点哈	滚远点哈
看啥子看	看什么看
悄悄咪咪	轻轻
走瓜了	走了
悄悄咪咪儿地我走瓜了	轻轻的我走了
就像我悄悄咪咪儿地梭起来	正如我轻轻的来
我轻轻的甩一哈手杆	我轻轻的招手
跟天边那坨云说拜拜	作别西天的云彩
那河边的金柳	那河畔的金柳
是夕阳中的新娘	是夕阳中的新娘
波浪里头的影影儿	波光里的艳影
在我心口头打璇璇儿	在我的心头荡漾
软泥上的青荇	软泥上的青荇
滑不溜揪的在水头乱板	油油的在水底招摇
在康河的柔波里	在康河的柔波里
我巴不得是那一颗海草	我甘心做一条水草
那树荫下的一潭	那树荫下的一潭
不是清泉是天上虹	不是清泉是天上虹
在河草头遭揉得稀烂	揉碎在浮藻间
沉淀着彩虹似的梦	沉淀着彩虹似的梦
寻梦	寻梦
撑一支长篙	撑一支长篙
向青草更青处漫溯	向青草更青处漫溯
装满了一船星星的月光儿	满载一船星辉
在星辉斑斓里毛起吼	在星辉斑斓里放歌
但我不能毛起吼	但我不能放歌
悄悄是别离的笙箫	悄悄是别离的笙箫
夏虫也在边上腔都不开	夏虫也为我沉默
沉默是今晚的康桥	沉默是今晚的康桥
悄悄咪咪的我走瓜了	悄悄的我走了
就像我悄悄咪咪的唆起来	正如我悄悄的来
我挥一挥衣袖	我挥一挥衣袖
不带走一片云彩	不带走一片云彩
花	花
草	草
树木	树木
姐姐	姐姐
姐	姐
嗨	嗨
你好	你好
你用跑的	你用跑的
等哈儿	等等
让我来	让我来
我赢老	我赢了
不会吧	不会吧
干杯	干杯
你懂起没	你懂了吗
懂起	懂了
你懂起没得	你懂了没有
他跑老	他跑了
跳进来	跳进来
我迷失老	我迷失了
我退出	我退出
我没得事	我没事
听倒	听着
你给我听倒起	你给我听着
不可能	不可能
没门	没门
你确定	你确定
试试噻	试试吧
告一哈	试一下
我们来试试	我们来试试
我们来告一哈	我们来试试
为啥子是我	为什么是我
切问他	去问他
冷静点	冷静点
公平点	公平点
友善点	友善点
和气点	和气点
联系我	联系我
联系我们	联系我们
进来	进来
找到他	找到他
滚出切	滚出去
出切	出去
走开	走开
滚	滚
再见	再见
告辞	告辞
等一哈	等一下
他来老	他来了
他跑	他跑
帮我一哈	帮我一下
帮帮我们吧	帮帮我们吧
坚持	坚持
抱抱他	抱抱他
我同意	我同意
我生病老	我生病了
我老老	我老了
没关系	没关系
没来头	没关系
是我	是我
来加入我们吧	来加入我们吧
留着吧	留着吧
吻我	吻我
完美	完美
闭嘴	闭嘴
把嘴巴闭倒	把嘴闭上
不管它	不管它
拿走吧	拿走吧
醒醒	醒醒
切清洗一哈	去清洗一下
我们晓得	我们知道
欢迎	欢迎
哪个赢老	谁赢了
为啥子不	为什么不
你跑	你跑
往后退点	往后退点
静静的莫动	静静的别动
我一无所知	我一无所知
把他铐上	把他铐上
把他铐倒	把他铐上
往前开	往前开
趴下	趴下
醒醒吧	醒醒吧
干的好	干的好
抓住汤姆	抓住汤姆
抓住他	抓住他
耍得开心	玩得开心
他来试试	他来试试
你就随老我的意嘛	你就随了我的意吧
赶快	赶快
搞快	赶快
快点	快点
我忘老	我忘了
我放弃	我放弃
我来付钱	我来付钱
我很忙	我很忙
我冷	我冷
我很好	我很好
我吃饱老	我吃饱了
我病老	我病了
我个子高	我个子高
让我一个人呆哈儿	让我一个人呆会儿
走嘛	走吧
我们开始嘛	我们开始吧
我们走嘛	我们走吧
当心	当心
她跑	她跑
起立	起立
他们赢老	他们赢了
汤姆切世老	汤姆去世了
汤姆不干老	汤姆不干了
汤姆游泳老	汤姆游泳了
相信我	相信我
努力	努力
告一哈嘛	试试吧
哪个死老	谁死了
鸟类飞行	鸟类飞行
打电话回家	打电话回家
抓到他	抓住他
回家吧	回家吧
现在就做	现在就做
狗会叫	狗会叫
莫哭	别哭
对不起	对不起
来感受一哈这个	来感受一下这个
请跟我来	请跟我来
请跟倒我们	请跟着我们
祝你好运	祝你好运
抓到那个	抓住那个
抓到这个	抓住这个
手举起来	手举起来
他是一个DJ	他是一个DJ
他很懒	他很懒
停火	停火
我住这儿	我住这儿
太可怕老	太可怕了
我没事	我没事
我老解你	我了解你
我希望如此	我希望如此
我笑老	我笑了
我向你保证	我向你保证
我看见汤姆老	我看见汤姆了
我要游泳	我要游泳
我是个男人	我是个男人
我是对的	我是对的
我很抱歉	我很抱歉
我还年轻	我还年轻
远吗	远吗
下雪老	下雪了
3点半老	3点半了
天很冷	天很冷
它是免费的	它是免费的
很晚老	很晚了
这是真的	这是真的
让我进切	让我进去
躺倒不动	躺着不动
回头看	回头看
腾一哈地方	腾一下地方
当然	当然
当然老	当然了
